account_name,created_at,display_name,friends_count,language,location,user_id
LSchwabauer,Sun Nov 03 18:10:43 +0000 2013,Schwabby,243,en,not given,2172573205
tamponwthwings,Thu Aug 08 19:35:44 +0000 2013,audriana,561,en,"Minneapolis, MN",1656084541
nataliesw33t,Sun Jul 14 23:10:43 +0000 2013,Natalie,298,en,"Knoxville, TN",1594482913
baybaxendale,Sat Feb 12 18:41:13 +0000 2011,Bailey Baxendale,690,en,not given,251237894
breightysucks,Thu Feb 24 05:35:13 +0000 2011,bj,335,en,not given,256847043
Meghan__22,Thu May 01 00:13:36 +0000 2014,meg pellett,377,en,not given,2471668920
MaggieMcCarron1,Fri Jul 29 00:04:44 +0000 2011,Maggie McCarron,283,en,"Antigonish, Nova Scotia",344381488
majjjjah,Fri Apr 03 02:03:12 +0000 2009,meya,99,en,Makati,28476761
madisonmcd3,Wed Jun 17 21:24:44 +0000 2009,Madison McDaniel,304,en,not given,48122115
AltoEnPointe,Wed Dec 09 15:44:48 +0000 2015,Gabrielle Morris,133,en,not given,4508703152
nickyturza,Thu Jun 09 07:17:12 +0000 2011,Nicky Turza,114,en,not given,313802028
carcaraud,Sun Jun 19 07:33:12 +0000 2011,Carson,247,en,not given,320070553
justjoeysmusic,Sun Jul 10 23:44:02 +0000 2011,Just Joey,365,en,"San Jose, CA",333089502
moranelgober,Sat Nov 05 23:45:46 +0000 2011,moranel,326,en,not given,405900090
Marleeee10,Sun Jun 02 02:19:11 +0000 2013,☻marlee richardson,378,en,not given,1476151032
ErrdayImShovlin,Sun Sep 11 22:52:27 +0000 2011,shovlin,421,en,Pittsburgh ,371998790
adambamonti,Mon Aug 29 22:32:10 +0000 2011,Adam,191,en,not given,364525404
alexwalker99,Sun May 04 20:36:45 +0000 2014,alex,956,en,"Mustang, OK",2529082019
deptofhighfives,Thu Feb 12 17:31:37 +0000 2009,What’s the wifi password?,1896,en,Toronto,20695857
oliviapelh,Mon May 30 04:13:12 +0000 2016,Olivia Pelham,193,en,904,737134739602214912
Bailey_Boulter,Mon Mar 05 23:35:28 +0000 2012,Bailey Boulter,143,en,not given,515979339
